,0,1,2,3,Type
perezro02,0.0,0.0,0.0,1.0,3
perezsa02,0.0,0.0,1.0,0.0,2
peterja01,0.0,0.593,0.407,0.0,1
petitgr01,0.0,0.88,0.12,0.0,1
phamth01,0.0,0.02,0.98,0.0,2
phegljo01,0.0,0.943,0.057,0.0,1
phillbr01,0.0,0.455,0.545,0.0,2
pierza.01,0.0,1.0,0.0,0.0,1
pillake01,0.0,0.164,0.836,0.0,2
piscost01,0.0,0.0,1.0,0.0,2
plaweke01,0.0,0.991,0.009,0.0,1
plouftr01,0.0,0.0,1.0,0.0,2
polangr01,0.018,0.045,0.937,0.0,2
polanjo01,0.0,1.0,0.0,0.0,1
poseybu01,0.003,0.0,0.997,0.0,2
pradoma01,0.0,0.0,1.0,0.0,2
preslal01,0.0,1.0,0.0,0.0,1
profaju01,0.0,0.906,0.094,0.0,1
puigya01,0.0,0.004,0.996,0.0,2
pujolal01,0.0,0.0,1.0,0.0,2
raburry01,0.012,0.0,0.988,0.0,2
ramiral03,0.0,1.0,0.0,0.0,1
ramirha01,0.0,0.0,1.0,0.0,2
ramirjo01,0.019,0.0,0.981,0.0,2
ramoswi01,0.0,0.0,1.0,0.0,2
rasmuco01,0.0,0.011,0.988,0.0,2
realmjt01,0.0,0.007,0.993,0.0,2
reckean01,1.0,0.0,0.0,0.0,0
reddijo01,0.0,0.007,0.993,0.0,2
reedaj01,0.0,0.008,0.992,0.0,2
refsnro01,0.001,0.989,0.01,0.0,1
reimono01,0.0,0.03,0.97,0.0,2
rendoan01,0.0,0.0,1.0,0.0,2
reverbe01,0.0,0.067,0.0,0.933,3
reyesjo01,0.194,0.799,0.006,0.0,1
reynoma01,0.001,0.0,0.999,0.0,2
reynoma03,0.0,1.0,0.0,0.0,1
rickajo01,0.079,0.691,0.23,0.0,1
riverre01,0.002,0.859,0.14,0.0,1
rivertj01,1.0,0.0,0.0,0.0,0
rizzoan01,0.01,0.0,0.99,0.0,2
robincl01,0.969,0.015,0.016,0.0,0
robinsh01,0.0,0.0,0.0,1.0,3
rodrial01,0.0,0.036,0.964,0.0,2
rodrise01,0.0,0.0,1.0,0.0,2
rojasmi02,0.0,1.0,0.0,0.0,1
rolliji01,0.0,0.993,0.007,0.0,1
rominan01,0.0,1.0,0.0,0.0,1
rominau01,0.0,0.749,0.251,0.0,1
rosalad01,0.953,0.0,0.047,0.0,0
rosared01,0.003,0.184,0.813,0.0,2
rossda01,1.0,0.0,0.0,0.0,0
ruary01,0.0,1.0,0.0,0.0,1
rufda01,0.0,1.0,0.0,0.0,1
ruizca01,0.0,0.201,0.799,0.0,2
ruppca01,0.0,0.001,0.999,0.0,2
russead02,0.003,0.001,0.996,0.0,2
saladty01,0.0,1.0,0.0,0.0,1
saltaja01,0.988,0.0,0.011,0.0,0
sanchga02,0.002,0.0,0.998,0.0,2
sanchca01,0.0,0.999,0.0,0.001,1
sanomi01,0.0,0.0,1.0,0.0,2
santaca01,0.001,0.0,0.999,0.0,2
